id_viaje,id_camion,latitud,longitud,velocidad_kmh,aceleracion_ms2,giros_bruscos,hora_dia,tipo_real
V00001,125,-2.194962,-79.303751,93.37,0.503,0,12.92,normal
V00002,108,-2.536799,-78.857206,46.62,0.395,1,8.73,normal
V00003,108,-2.237335,-79.272778,99.62,0.454,0,16.03,normal
V00004,113,-2.547959,-78.864797,58.86,1.006,0,6.83,normal
V00005,118,-2.218197,-79.290752,94.7,0.554,0,18.23,normal
V00006,124,-2.164684,-79.28044,89.18,0.095,0,13.94,normal
V00007,115,-2.166834,-79.298276,91.4,0.243,0,17.33,normal
V00008,112,-2.510677,-78.845568,,0.809,1,13.01,normal
V00009,124,-2.204947,-79.284437,134.39,6.053,10,15.93,anomalia_temeraria
V00010,108,-2.215785,-79.295672,93.4,0.709,0,12.39,normal
V00011,122,-2.518636,-78.842154,51.72,1.098,2,9.52,normal
V00012,107,-2.196598,-79.297609,99.79,0.337,0,12.75,normal
V00013,116,-2.894887,-78.593154,22.62,1.357,1,20.01,normal
V00014,109,-2.904339,-78.61917,30.31,1.518,6,19.41,normal
V00015,117,-2.190439,-79.294585,78.26,0.441,0,14.8,normal
V00016,107,-2.515809,-78.847542,41.82,0.985,2,9.42,normal
V00017,111,-2.55592,-78.853842,239.97,1.378,1,20.84,ruido_sensor
V00018,102,-2.930136,-78.593757,26.43,1.702,4,18.18,normal
V00019,122,-2.165967,-79.293885,96.8,0.27,0,12.09,normal
V00020,121,-2.526575,-78.866599,44.28,0.61,2,9.77,normal
V00021,108,-2.182778,-79.289631,93.4,0.464,0,17.13,normal
V00022,113,-2.551049,-78.848007,44.12,0.716,3,9.7,normal
V00023,106,-2.559934,-78.825684,280.56,-5.864,1,18.78,ruido_sensor
V00024,127,-2.896393,-78.544052,31.76,1.187,1,20.98,normal
V00025,109,-2.20948,-79.282399,80.0,0.452,0,18.37,normal
V00026,117,-2.838314,-78.563711,27.1,1.373,0,19.37,normal
V00027,102,-2.896628,-78.616683,26.51,1.927,3,16.07,normal
V00028,111,-2.181747,-79.249855,99.68,0.121,1,15.71,normal
V00029,113,-2.541925,-78.86094,298.38,5.945,0,4.75,ruido_sensor
V00030,130,-2.548967,-78.866165,51.44,0.467,1,11.4,normal
V00031,112,-2.556087,-78.82981,51.04,0.941,1,7.2,normal
V00032,124,-2.932274,-78.594939,33.86,0.997,1,20.74,normal
V00033,101,-2.881548,-78.575692,29.2,1.06,3,18.31,normal
V00034,109,-2.234078,-79.255664,95.59,0.393,1,14.47,normal
V00035,127,-2.190913,-79.290206,86.96,0.498,1,12.57,normal
V00036,109,-2.206651,-79.314231,86.86,0.666,0,14.37,normal
V00037,110,-2.222335,-79.298098,82.06,0.229,0,13.86,normal
V00038,130,-2.575585,-78.864846,56.85,1.092,0,13.0,normal
V00039,113,-2.911449,-78.55547,27.51,1.19,2,18.68,normal
V00040,102,-2.925107,-78.567816,22.05,1.492,6,19.75,normal
V00041,123,-2.916449,-78.567289,24.75,0.83,2,17.21,normal
V00042,124,-2.214793,-79.273159,87.61,0.787,0,14.65,normal
V00043,112,-2.567659,-78.851911,48.69,0.675,1,15.62,normal
V00044,104,-2.552124,-78.840899,53.35,0.937,0,7.61,normal
V00045,117,-2.894688,-78.582564,26.0,1.115,1,14.98,normal
V00046,127,-2.21925,-79.324716,126.97,4.427,13,17.03,anomalia_temeraria
V00047,103,-2.199101,-79.286452,99.01,0.232,1,12.02,normal
V00048,120,-2.547263,-78.83428,43.85,0.939,2,11.7,normal
V00049,130,-2.929699,-78.609579,39.57,1.656,5,17.06,normal
V00050,110,-2.538225,-78.846397,50.09,0.785,1,10.14,normal
V00051,109,-2.914148,-78.612125,44.53,1.508,1,19.72,normal
V00052,103,-2.898241,-78.589097,26.77,1.529,4,22.5,normal
V00053,130,-2.181057,-79.283279,93.35,0.616,1,14.81,normal
V00054,109,-2.230663,-79.315116,98.79,0.667,0,10.3,normal
V00055,106,-2.517663,-78.829809,48.48,0.683,2,9.26,normal
V00056,106,-2.852182,-78.609601,26.68,,2,21.22,normal
V00057,120,-2.198898,-79.305538,90.65,0.522,0,8.22,normal
V00058,103,-2.207057,-79.282062,99.56,0.4,0,11.29,normal
V00059,119,-2.93845,-78.595589,38.61,1.037,1,17.57,normal
V00060,122,-2.929049,-78.621032,31.76,1.631,3,19.05,normal
V00061,110,-2.534938,-78.86677,47.87,0.511,1,11.04,normal
V00062,124,-2.202044,-79.321667,74.15,0.105,0,11.18,normal
V00063,120,-2.863459,-78.636259,25.48,1.422,2,20.03,normal
V00064,103,-2.899156,-78.633926,36.2,0.438,0,20.69,normal
V00065,111,-2.551747,-78.843446,46.28,0.562,2,11.28,normal
V00066,104,-2.912857,-78.547904,28.31,1.171,1,20.73,normal
V00067,102,-2.584776,-78.84424,45.57,0.564,2,8.41,normal
V00068,106,-2.553408,-78.879322,49.43,0.596,1,6.71,normal
V00069,127,-2.227905,-79.321992,81.53,0.516,1,11.64,normal
V00070,117,-2.899968,-78.602514,25.25,0.911,2,20.16,normal
V00071,105,-2.521661,-78.811897,54.96,0.652,1,11.55,normal
V00072,108,-2.54944,-78.861476,50.77,0.917,1,10.43,normal
V00073,106,-2.562428,-78.83313,42.83,0.588,1,8.33,normal
V00074,116,-2.195877,-79.279338,100.63,0.374,0,12.64,normal
V00075,120,-2.903859,-78.592896,30.23,1.63,1,15.84,normal
V00076,130,-2.892537,-78.548794,30.68,1.536,1,17.26,normal
V00077,124,-2.186796,-79.302627,90.57,0.466,0,11.41,normal
V00078,110,-2.540733,-78.886118,37.65,0.575,1,8.23,normal
V00079,107,-2.52868,-78.812042,56.31,1.328,0,11.23,normal
V00080,105,-2.174974,-79.300032,91.3,0.297,0,11.9,normal
V00081,105,-2.209518,-79.264799,82.6,0.401,0,13.0,normal
V00082,101,-2.189746,-79.303746,84.13,0.126,0,12.82,normal
V00083,114,-2.180006,-79.314831,81.49,0.559,0,13.85,normal
V00084,113,-2.872101,-78.603558,36.33,1.1,4,18.8,normal
V00085,106,-2.209022,-79.293082,95.77,0.509,1,15.71,normal
V00086,115,-2.166345,-79.274724,78.93,0.724,0,12.35,normal
V00087,104,-2.539762,-78.802647,59.75,0.656,1,11.8,normal
V00088,106,-2.562093,-78.845909,47.23,0.678,0,9.21,normal
V00089,125,-2.552778,-78.818546,48.82,1.244,1,6.29,normal
V00090,114,-2.194061,-79.301858,79.87,0.313,0,17.77,normal
V00091,108,-2.544676,-78.884818,35.1,0.429,1,7.14,normal
V00092,126,-2.858432,-78.617245,31.03,0.322,6,19.67,normal
V00093,130,-2.874347,-78.601433,35.01,1.237,1,18.3,normal
V00094,112,-2.543463,-78.894559,59.25,0.341,0,12.2,normal
V00095,105,-2.186411,-79.291057,98.52,0.404,1,14.55,normal
V00096,119,-2.180548,-79.311429,97.31,0.07,1,13.25,normal
V00097,105,-2.92114,-78.586686,26.48,1.361,4,18.41,normal
V00098,119,-2.192667,-79.295704,84.54,0.297,0,18.08,normal
V00099,104,-2.917595,-78.565816,,1.243,2,21.65,normal
V00100,113,-2.534549,-78.84896,55.73,0.745,0,7.75,normal
V00101,125,-2.893161,-78.586814,27.56,1.515,3,17.71,normal
V00102,109,-2.597561,-78.855126,51.36,0.7,1,8.51,normal
V00103,111,-2.548818,-78.8593,49.39,1.069,0,6.14,normal
V00104,121,-2.239104,-79.257614,96.65,0.659,0,11.68,normal
V00105,116,-2.546,-78.878102,49.7,0.862,2,9.12,normal
V00106,110,-2.551495,-78.85519,44.15,1.145,0,7.71,normal
V00107,110,-2.204249,-79.305577,91.5,0.381,0,12.93,normal
V00108,126,-2.871235,-78.610674,32.18,0.951,2,19.29,normal
V00109,106,-2.195393,-79.2756,92.7,0.216,0,11.56,normal
V00110,119,-2.559742,-78.861924,41.47,1.045,5,8.65,normal
V00111,114,-2.240275,-79.302685,105.06,0.386,0,9.01,normal
V00112,101,-2.172897,-79.314182,99.86,0.325,0,12.55,normal
V00113,113,-2.521433,-78.849431,48.45,1.069,3,6.54,normal
V00114,102,-3.637093,-80.06507,14.58,0.773,1,2.59,anomalia_desvio
V00115,120,-2.238929,-79.308277,81.57,0.371,0,15.08,normal
V00116,109,-2.196476,-79.302979,87.19,0.399,0,11.53,normal
V00117,109,-2.203577,-79.298247,88.98,0.192,0,12.94,normal
V00118,113,-2.179961,-79.276871,99.84,0.578,0,11.01,normal
V00119,128,-2.537174,-78.869009,44.79,0.592,1,9.83,normal
V00120,107,-2.535486,-78.828159,51.09,0.921,0,8.47,normal
V00121,119,-2.199038,-79.313613,99.22,0.536,1,16.98,normal
V00122,128,-2.566527,-78.831357,53.97,0.616,2,14.01,normal
V00123,102,-2.551317,-78.833111,54.14,,0,8.92,normal
V00124,104,-2.526529,-78.84733,50.71,0.446,0,12.66,normal
V00125,102,-2.206183,-79.297103,86.11,0.41,0,13.17,normal
V00126,117,-2.559804,-78.876487,44.85,0.081,1,8.16,normal
V00127,112,-2.216551,-79.263982,86.41,0.416,0,13.63,normal
V00128,122,-2.556218,-78.855168,50.36,0.592,1,6.75,normal
V00129,101,-2.198254,-79.277967,98.02,0.31,2,15.37,normal
V00130,113,-2.915307,-78.595961,33.62,1.428,2,23.06,normal
V00131,129,-2.250251,-79.29073,87.56,0.388,0,13.46,normal
V00132,121,-2.218737,-79.285953,83.97,0.531,0,11.83,normal
V00133,119,-2.535196,-78.835018,36.74,0.653,0,7.27,normal
V00134,124,-2.204712,-79.295262,86.07,0.56,0,16.72,normal
V00135,103,-2.173928,-79.298523,94.22,0.356,1,12.95,normal
V00136,105,-2.234264,-79.301826,90.15,0.3,1,18.67,normal
V00137,118,-2.544078,-78.845928,47.98,0.922,1,8.63,normal
V00138,110,-2.889429,-78.608438,28.94,1.382,2,15.79,normal
V00139,121,-2.86028,-78.596499,27.77,1.126,4,17.43,normal
V00140,112,-2.876013,-78.577662,33.02,1.059,2,19.17,normal
V00141,121,-2.200026,-79.270534,71.81,0.408,0,14.62,normal
V00142,119,-2.917346,-78.614694,34.02,1.384,2,14.91,normal
V00143,119,-2.573392,-78.833377,50.59,0.291,3,12.31,normal
V00144,119,-2.558828,-78.849749,49.03,1.027,0,9.18,normal
V00145,120,-2.192783,-79.317935,95.16,0.591,2,15.64,normal
V00146,102,-2.923942,-78.5719,29.21,1.852,3,18.74,normal
V00147,123,-2.923455,-78.579883,34.94,0.627,4,20.05,normal
V00148,126,-2.900445,-78.576329,36.66,0.76,1,18.92,normal
V00149,111,-2.517691,-78.885856,51.3,0.72,0,9.91,normal
V00150,104,-2.558609,-78.83729,51.62,0.936,0,9.47,normal
V00151,123,-2.544864,-78.860984,52.22,0.798,3,9.68,normal
V00152,122,-2.531775,-78.874703,49.75,0.201,0,7.63,normal
V00153,111,-2.552068,-78.875748,39.93,0.932,0,7.54,normal
V00154,104,-2.545179,-78.849016,272.59,2.259,2,20.47,ruido_sensor
V00155,117,-2.20237,-79.316917,89.85,0.211,0,13.81,normal
V00156,108,-2.555065,-78.859696,41.13,1.091,2,9.27,normal
V00157,123,-2.565939,-78.833681,54.22,0.818,2,7.81,normal
V00158,130,-2.219859,-79.279454,104.66,0.383,0,15.56,normal
V00159,126,-2.571726,-78.853765,49.79,0.91,2,7.61,normal
V00160,114,-2.512185,-78.859442,48.23,1.001,1,7.87,normal
V00161,101,-2.185064,-79.30115,79.3,0.376,0,18.02,normal
V00162,120,-2.228178,-79.334984,90.33,0.384,0,16.54,normal
V00163,122,-2.557224,-78.913378,281.82,3.114,1,19.75,ruido_sensor
V00164,121,-2.570667,-78.865042,41.54,0.588,3,5.31,normal
V00165,117,-2.197915,-79.315832,100.49,0.289,1,11.01,normal
V00166,101,-2.534095,-78.868096,37.48,1.29,1,11.5,normal
V00167,102,-2.198014,-79.332083,89.4,0.57,1,10.58,normal
V00168,130,-2.565883,-78.847074,44.58,0.219,2,7.64,normal
V00169,117,-2.54201,-78.884528,47.97,0.965,1,8.75,normal
V00170,104,-2.563365,-78.910356,42.04,1.048,1,7.59,normal
V00171,111,-2.587126,-78.853953,48.37,1.154,0,9.86,normal
V00172,123,-2.896412,-78.604584,30.93,1.394,2,20.76,normal
V00173,102,-2.163636,-79.27551,104.31,0.589,0,18.57,normal
V00174,121,-2.493816,-78.85653,45.77,0.963,0,7.94,normal
V00175,104,-2.525344,-78.842914,53.25,0.706,2,9.01,normal
V00176,110,-2.550402,-78.797472,37.04,0.659,1,8.92,normal
V00177,130,-2.903088,-78.595196,24.69,1.332,0,20.8,normal
V00178,130,-2.186798,-79.286813,138.54,3.959,11,0.66,anomalia_temeraria
V00179,121,-2.185039,-79.317688,88.95,0.225,1,18.5,normal
V00180,106,-2.176898,-79.28821,97.99,0.385,0,11.16,normal
V00181,109,-2.894538,-78.635286,37.01,1.671,2,21.87,normal
V00182,121,-2.193164,-79.282344,88.92,0.649,0,11.62,normal
V00183,122,-2.540701,-78.861927,250.94,3.677,1,4.37,ruido_sensor
V00184,101,-2.196138,-79.307843,88.28,0.549,0,14.67,normal
V00185,103,-2.881116,-78.600193,26.85,0.387,2,20.29,normal
V00186,112,-2.534276,-78.835665,36.34,1.209,3,10.48,normal
V00187,114,-2.199332,-79.306464,95.61,0.547,0,16.84,normal
V00188,125,-2.195687,-79.322946,103.37,0.298,0,13.56,normal
V00189,130,-2.544942,-78.865466,51.84,1.41,1,5.07,normal
V00190,126,-2.182014,-79.308301,90.54,,0,12.46,normal
V00191,113,-2.556466,-78.881228,56.11,1.286,0,5.86,normal
V00192,127,-2.184731,-79.312888,92.24,0.184,0,14.51,normal
V00193,104,-2.569612,-78.826054,32.83,0.904,0,9.17,normal
V00194,109,-2.898603,-78.620452,25.07,1.212,4,23.59,normal
V00195,114,-2.573017,-78.84349,49.7,0.899,2,8.25,normal
V00196,104,-2.206068,-79.31548,99.71,0.549,1,14.53,normal
V00197,130,-2.577639,-78.883656,41.74,1.032,0,12.4,normal
V00198,102,-2.550167,-78.872727,50.94,0.571,0,10.85,normal
V00199,104,-2.2137,-79.31252,86.13,0.278,0,15.75,normal
V00200,110,-2.178959,-79.329411,93.64,0.231,0,13.27,normal
V00201,104,-2.875205,-78.608026,30.67,1.214,1,18.3,normal
V00202,109,-2.558851,-78.857285,37.55,1.242,2,12.49,normal
V00203,128,-2.255732,-79.287885,94.92,0.122,1,16.04,normal
V00204,108,-2.565367,-78.876427,48.82,0.984,0,8.64,normal
V00205,107,-2.870896,-78.626236,28.48,1.276,4,17.21,normal
V00206,101,-2.564862,-78.850254,44.37,0.933,2,10.58,normal
V00207,107,-2.197264,-79.299182,83.58,0.316,0,12.6,normal
V00208,116,-2.557598,-78.846704,42.24,1.205,0,7.32,normal
V00209,114,-2.205619,-79.30043,80.87,0.071,0,14.14,normal
V00210,102,-2.544951,-78.831835,47.76,1.141,2,6.66,normal
V00211,120,-2.556247,-78.859334,40.35,0.737,2,11.95,normal
V00212,113,-2.875516,-78.629622,36.59,1.867,1,19.8,normal
V00213,112,-2.892117,-78.622015,25.76,1.643,1,21.93,normal
V00214,102,-2.176956,-79.289726,96.73,0.571,1,10.74,normal
V00215,119,-2.534101,-78.853221,51.03,0.864,0,8.54,normal
V00216,102,-2.178615,-79.311392,80.68,0.592,0,9.15,normal
V00217,109,-2.525571,-78.830242,43.35,1.249,3,10.23,normal
V00218,129,-2.176969,-79.274648,91.62,0.183,0,12.61,normal
V00219,129,-2.533068,-78.817119,47.84,0.996,1,4.98,normal
V00220,122,-2.918739,-78.621243,31.01,1.014,2,17.04,normal
V00221,119,-2.538893,-78.84815,53.96,0.945,0,7.06,normal
V00222,119,-2.178057,-79.310376,104.46,0.463,2,15.47,normal
V00223,118,-2.885669,-78.585673,29.81,0.987,1,22.53,normal
V00224,116,-2.240669,-79.36197,96.81,0.306,0,13.86,normal
V00225,107,-2.55309,-78.840657,46.09,1.616,3,8.69,normal
V00226,130,-2.571494,-78.847376,45.71,0.563,0,8.78,normal
V00227,115,-2.551151,-78.853578,43.83,0.329,0,7.75,normal
V00228,128,-2.877129,-78.608897,33.01,1.381,5,21.6,normal
V00229,122,-2.183673,-79.315546,106.91,0.241,0,14.33,normal
V00230,113,-2.557905,-78.840649,49.5,0.763,0,9.93,normal
V00231,120,-2.868035,-78.597039,33.38,0.764,5,20.31,normal
V00232,107,-2.555413,-78.864663,47.34,0.534,1,9.37,normal
V00233,127,-2.549856,-78.852646,46.32,0.53,0,7.69,normal
V00234,122,-2.16533,-79.296698,93.42,0.184,0,15.18,normal
V00235,113,-2.604776,-78.874031,63.55,,0,8.17,normal
V00236,126,-2.566004,-78.846834,45.19,0.904,2,6.5,normal
V00237,118,-2.223722,-79.319285,90.38,0.386,0,13.27,normal
V00238,104,-2.5894,-78.83528,47.72,0.897,1,10.25,normal
V00239,104,-2.577241,-78.848201,53.34,0.387,0,8.3,normal
V00240,101,-2.215017,-79.299119,103.08,0.716,1,10.97,normal
V00241,108,-2.178904,-79.313814,136.88,4.398,17,6.3,anomalia_temeraria
V00242,103,-2.217502,-79.284129,88.36,0.563,1,14.71,normal
V00243,114,-2.536598,-78.813906,48.02,0.692,4,7.15,normal
V00244,119,-2.539666,-78.834833,51.35,0.655,0,10.77,normal
V00245,118,-2.201793,-79.288445,85.9,0.542,0,10.94,normal
V00246,116,-3.609632,-80.148463,6.95,0.403,1,1.69,anomalia_desvio
V00247,115,-2.896506,-78.611989,33.12,1.538,3,21.88,normal
V00248,129,-2.536926,-78.879706,44.96,1.185,1,7.99,normal
V00249,110,-2.182107,-79.319631,88.99,0.477,1,15.48,normal
V00250,129,-2.190525,-79.272726,90.84,0.191,2,16.37,normal
V00251,107,-2.569761,-78.863698,295.38,,0,10.21,ruido_sensor
V00252,113,-2.219391,-79.278586,88.36,0.264,1,13.45,normal
V00253,115,-2.549279,-78.873694,56.88,0.71,0,9.37,normal
V00254,103,-2.594306,-78.85617,40.19,0.801,1,9.16,normal
V00255,120,-2.874449,-78.569012,26.62,1.084,3,17.51,normal
V00256,110,-2.879267,-78.619747,35.56,1.017,1,20.73,normal
V00257,128,-2.533612,-78.814115,53.78,0.792,2,8.07,normal
V00258,123,-2.898455,-78.581498,31.27,1.295,4,20.06,normal
V00259,109,-2.867528,-78.583421,21.76,1.303,1,20.62,normal
V00260,108,-2.548651,-78.847431,54.74,0.745,0,8.64,normal
V00261,130,-2.190115,-79.307709,,0.207,0,16.06,normal
V00262,101,-2.198154,-79.297927,86.42,0.253,0,13.47,normal
V00263,129,-2.195553,-79.267396,82.99,0.581,0,14.93,normal
V00264,106,-2.555418,-78.824575,52.81,1.145,1,11.73,normal
V00265,107,-2.157908,-79.275302,135.1,4.227,5,22.9,anomalia_temeraria
V00266,122,-2.571352,-78.871164,48.82,0.921,0,7.25,normal
V00267,106,-2.214498,-79.260655,90.4,0.368,0,20.48,normal
V00268,121,-2.226649,-79.325907,81.34,0.256,0,13.85,normal
V00269,102,-2.529569,-78.860765,38.62,1.098,1,10.61,normal
V00270,114,-2.188799,-79.303782,94.65,0.341,1,14.63,normal
V00271,120,-2.550827,-78.848724,55.77,1.106,1,9.15,normal
V00272,113,-2.902698,-78.573053,28.18,0.658,2,17.39,normal
V00273,113,-2.214325,-79.297311,94.65,0.375,0,13.23,normal
V00274,109,-2.870063,-78.565218,28.96,1.392,2,18.5,normal
V00275,107,-2.174797,-79.30899,84.97,0.301,0,15.78,normal
V00276,112,-2.565648,-78.867479,41.22,1.337,1,9.57,normal
V00277,130,-2.911555,-78.63288,50.23,1.037,2,19.55,normal
V00278,112,-2.172374,-79.301678,93.13,0.435,0,13.07,normal
V00279,120,-2.215768,-79.286864,101.22,0.142,0,18.45,normal
V00280,105,-2.258342,-79.258759,138.96,4.302,13,14.44,anomalia_temeraria
V00281,102,-2.187697,-79.307559,80.39,0.23,0,15.94,normal
V00282,112,-2.209201,-79.267824,104.97,0.352,1,12.66,normal
V00283,122,-2.560558,-78.863043,46.34,1.14,2,9.07,normal
V00284,110,-2.196614,-79.27793,90.01,0.533,0,15.3,normal
V00285,118,-2.899689,-78.616876,27.47,0.605,0,18.91,normal
V00286,120,-2.211243,-79.302464,92.7,0.673,0,16.78,normal
V00287,113,-2.19252,-79.302525,81.9,0.562,0,8.93,normal
V00288,108,-2.560475,-78.825389,47.17,1.05,0,5.9,normal
V00289,104,-2.176367,-79.311658,100.95,0.561,0,12.37,normal
V00290,115,-2.54125,-78.846547,51.16,0.47,1,7.87,normal
V00291,122,-2.174346,-79.299557,82.36,0.365,0,16.13,normal
V00292,124,-2.523704,-78.854057,38.46,0.482,1,8.63,normal
V00293,119,-2.877909,-78.633455,29.09,1.401,2,20.29,normal
V00294,103,-2.940086,-78.626689,29.77,1.928,3,20.01,normal
V00295,126,-2.892674,-78.604782,30.74,1.573,2,18.18,normal
